Date,Open,High,Low,Close,Adj Close,Volume
2006-06-21,9.121250,9.125000,9.018750,9.031250,7.940834,190400
2006-06-22,9.000000,9.016250,8.722500,8.818750,7.753991,1701600
2006-06-23,8.781250,8.945000,8.685000,8.792500,7.730908,426400
2006-06-26,8.812500,8.875000,8.750000,8.825000,7.759483,452800
2006-06-27,8.837500,8.837500,8.495000,8.495000,7.469331,799200
2006-06-28,8.531250,8.617500,8.427500,8.598750,7.560553,796800
2006-06-29,8.706250,9.118750,8.666250,9.118750,8.017770,1411200
2006-06-30,9.187500,9.187500,9.022500,9.031250,7.940834,1896000
2006-07-03,9.100000,9.143750,9.082500,9.136250,8.033156,297600
2006-07-05,8.968750,8.972500,8.751250,8.776250,7.716620,1237600
2006-07-06,8.818750,8.887500,8.693750,8.725000,7.671561,671200
2006-07-07,8.568750,8.737500,8.481250,8.533750,7.503400,573600
2006-07-10,8.612500,8.646250,8.317500,8.392500,7.379205,998400
2006-07-11,8.330000,8.553750,8.270000,8.530000,7.500102,1325600
2006-07-12,8.477500,8.500000,8.150000,8.192500,7.203353,1824800
2006-07-13,8.231250,8.231250,7.912500,7.931250,6.973645,3343200
2006-07-14,7.900000,7.918750,7.687500,7.768750,6.830766,1732000
2006-07-17,7.831250,7.875000,7.705000,7.806250,6.863738,1233600
2006-07-18,7.875000,7.900000,7.587500,7.850000,6.902205,3256800
2006-07-19,7.831250,8.133750,7.826250,8.020000,7.051679,2117600
2006-07-20,8.112500,8.112500,7.793750,7.801250,6.859342,1502400
2006-07-21,7.666250,7.750000,7.615000,7.625000,6.704371,2328800
2006-07-24,7.686250,7.932500,7.686250,7.906250,6.951663,1916800
2006-07-25,7.943750,8.075000,7.846250,7.983750,7.019806,2710400
2006-07-26,7.950000,8.123750,7.850000,8.000000,7.034095,2937600
2006-07-27,8.168750,8.187500,7.850000,7.918750,6.962654,1504800
2006-07-28,8.006250,8.235000,7.956250,8.235000,7.240720,844000
2006-07-31,8.175000,8.306250,8.118750,8.218750,7.226433,1244800
2006-08-01,8.068750,8.068750,7.850000,7.937500,6.979140,1951200
2006-08-02,8.031250,8.212500,8.012500,8.083750,7.107733,1742400
2006-08-03,7.943750,8.300000,7.937500,8.218750,7.226433,2495200
2006-08-04,8.371250,8.437500,7.988750,8.143750,7.160489,2352000
2006-08-07,8.087500,8.118750,7.968750,8.045000,7.073661,2127200
2006-08-08,8.075000,8.125000,7.862500,7.943750,6.984636,3604800
2006-08-09,8.051250,8.275000,7.912500,7.940000,6.981339,3603200
2006-08-10,7.946250,8.102500,7.862500,8.041250,7.070364,2910400
2006-08-11,7.962500,8.006250,7.881250,7.962500,7.001122,1663200
2006-08-14,8.061250,8.250000,8.015000,8.035000,7.064868,2415200
2006-08-15,8.298750,8.562500,8.186250,8.453750,7.433058,2756800
2006-08-16,8.562500,8.865000,8.512500,8.856250,7.786963,3880000
2006-08-17,8.868750,9.037500,8.800000,8.912500,7.836422,5543200
2006-08-18,8.881250,8.942500,8.718750,8.900000,7.825428,2116800
2006-08-21,8.755000,8.823750,8.693750,8.737500,7.682551,2034400
2006-08-22,8.828750,8.935000,8.686250,8.760000,7.702332,2033600
2006-08-23,8.782500,8.870000,8.550000,8.612500,7.572641,2324800
2006-08-24,8.712500,8.718750,8.537500,8.678750,7.630894,2304000
2006-08-25,8.587500,8.848750,8.587500,8.712500,7.660567,1907200
2006-08-28,8.687500,8.887500,8.687500,8.837500,7.770476,2073600
