äÓèÄì˙,äÓèÄâøäz,ëOì˙î‰,èÉéëéYëçäz,íºãﬂåàéZì˙,íºãﬂï™îzã‡,ï™îzã‡çƒìäéëäÓèÄâøäz
20181019,10001.00,0,300033250,00000000,0,10001
20181022,9998.00,-3,299937512,00000000,0,9998
20181023,10132.00,134,303965761,00000000,0,10132
20181024,10090.00,-42,302696469,00000000,0,10090
20181025,9250.00,-840,277496525,00000000,0,9250
20181026,9492.00,242,284767209,00000000,0,9492
20181029,9402.00,-90,282063731,00000000,0,9402
20181030,8982.00,-420,269471029,00000000,0,8982
20181031,9197.00,215,276017882,00000000,0,9197
20181101,9632.00,435,289057612,00000000,0,9632
20181102,9915.00,283,297564280,00000000,0,9915
20181105,9640.00,-275,295364353,00000000,0,9640
20181106,9554.00,-86,295118002,00000000,0,9554
20181107,9739.00,185,303387558,00000000,0,9739
20181108,10294.00,555,322773488,00000000,0,10294
20181109,10147.00,-147,320084899,00000000,0,10147
20181112,9768.00,-379,311195851,00000000,0,9768
20181113,9222.00,-546,294385192,00000000,0,9222
20181114,9271.00,49,296015393,00000000,0,9271
20181115,9040.00,-231,288471759,00000000,0,9040
20181116,9439.00,399,300709730,00000000,0,9439
20181119,9381.00,-58,298916071,00000000,0,9381
20181120,8781.00,-600,280217315,00000000,0,8781
20181121,8415.00,-366,268719626,00000000,0,8415
20181122,8528.00,113,272337105,00000000,0,8528
20181126,8408.00,-120,268567879,00000000,0,8408
20181127,8781.00,373,280498660,00000000,0,8781
20181128,8884.00,103,284342640,00000000,0,8884
20181129,9429.00,545,301840894,00000000,0,9429
20181130,9414.00,-15,316138795,00000000,0,9414
20181203,9512.00,98,319732153,00000000,0,9512
20181204,9806.00,294,329709108,00000000,0,9806
20181205,9100.00,-706,311822064,00000000,0,9100
20181206,9103.00,3,311948404,00000000,0,9103
20181207,9159.00,56,313871466,00000000,0,9159
20181210,8616.00,-543,295422438,00000000,0,8616
20181211,8815.00,199,302287985,00000000,0,8815
20181212,8862.00,47,304058223,00000000,0,8862
20181213,8999.00,137,308796654,00000000,0,8999
20181214,8952.00,-47,307409258,00000000,0,8952
20181217,8548.00,-404,293553175,00000000,0,8548
20181218,8206.00,-342,282128121,00000000,0,8206
20181219,8191.00,-15,281681579,00000000,0,8191
20181220,7854.00,-337,270210473,00000000,0,7854
20181221,7784.00,-70,267822565,00000000,0,7784
20181225,6726.00,-1058,231055530,00000000,0,6726
20181226,6726.00,0,231028871,00000000,0,6726
20181227,7644.00,918,262568507,00000000,0,7644
20181228,7734.00,90,263916129,00000000,0,7734
20190104,7352.00,-382,250921195,00000000,0,7352
20190107,8012.00,660,273438384,00000000,0,8012
20190108,8165.00,153,279365720,00000000,0,8165
20190109,8315.00,150,284952669,00000000,0,8315
20190110,8434.00,119,289854517,00000000,0,8434
20190111,8487.00,53,292033149,00000000,0,8487
20190115,8277.00,-210,285195851,00000000,0,8277
20190116,8608.00,331,296578433,00000000,0,8608
20190117,8581.00,-27,295909274,00000000,0,8581
20190118,8720.00,139,301048546,00000000,0,8720
20190121,8908.00,188,307756903,00000000,0,8908
20190122,8907.00,-1,307603350,00000000,0,8907
20190123,8542.00,-365,295004945,00000000,0,8542
20190124,8574.00,32,297607118,00000000,0,8574
20190125,8599.00,25,298573912,00000000,0,8599
20190128,8898.00,299,309038572,00000000,0,8898
20190129,8666.00,-232,301188071,00000000,0,8666
20190130,8505.00,-161,295836107,00000000,0,8505
20190131,9014.00,509,313767583,00000000,0,9014
20190201,9216.00,202,321010065,00000000,0,9216
20190204,9114.00,-102,317908918,00000000,0,9114
20190205,9272.00,158,324055471,00000000,0,9272
20190206,9465.00,193,333429652,00000000,0,9465
20190207,9432.00,-33,339337358,00000000,0,9432
20190208,9188.00,-244,330785405,00000000,0,9188
20190212,9209.00,21,333061125,00000000,0,9209
20190213,9488.00,279,343154870,00000000,0,9488
20190214,9482.00,-6,347293524,00000000,0,9482
20190215,9491.00,9,347691939,00000000,0,9491
20190218,9609.00,118,349100639,00000000,0,9609
20190219,9609.00,0,346047371,00000000,0,9609
20190220,9621.00,12,346466524,00000000,0,9621
20190221,9634.00,13,347029286,00000000,0,9634
20190222,9528.00,-106,342402658,00000000,0,9528
20190225,9672.00,144,347472278,00000000,0,9672
20190226,9773.00,101,351350434,00000000,0,9773
20190227,9751.00,-22,350795807,00000000,0,9751
20190228,9762.00,11,351226477,00000000,0,9762
20190301,9709.00,-53,348459761,00000000,0,9709
20190304,9854.00,145,353499523,00000000,0,9854
20190305,9825.00,-29,353189494,00000000,0,9825
20190306,9885.00,60,355356928,00000000,0,9885
20190307,9736.00,-149,350056797,00000000,0,9736
20190308,9506.00,-230,340202671,00000000,0,9506
20190311,9503.00,-3,340174495,00000000,0,9503
20190312,9874.00,371,352420652,00000000,0,9874
20190313,9987.00,113,356603946,00000000,0,9987
20190314,10159.00,172,362843829,00000000,0,10159
20190315,10077.00,-82,360008024,00000000,0,10077
20190318,10288.00,211,367834414,00000000,0,10288
